chr_1,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr1.vcf.gz
chr_2,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr2.vcf.gz
chr_3,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr3.vcf.gz
chr_4,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr4.vcf.gz
chr_5,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr5.vcf.gz
chr_6,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr6.vcf.gz
chr_7,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr7.vcf.gz
chr_8,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr8.vcf.gz
chr_9,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr9.vcf.gz
chr_10,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr10.vcf.gz
chr_11,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr11.vcf.gz
chr_12,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr12.vcf.gz
chr_13,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr13.vcf.gz
chr_14,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr14.vcf.gz
chr_15,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr15.vcf.gz
chr_16,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr16.vcf.gz
chr_17,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr17.vcf.gz
chr_18,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr18.vcf.gz
chr_19,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr19.vcf.gz
chr_20,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr20.vcf.gz
chr_21,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr21.vcf.gz
chr_22,/nf-gwas-pipeline/data/1KG_vcf/1KG_phase3_subset_chr22.vcf.gz
